action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,32260,[],CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,"{'bei': '19.25', 'le': '0.37', 'lle': '2.94', 'sei': '8.93'}",CHEMBL68920,,CHEMBL68920,7.39,0,http://www.openphacts.org/units/Nanomolar,119482,=,1,1,=,,IC50,nM,,41.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.041
,,32263,[],CHEMBL621151,Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,,CHEMBL68920,,CHEMBL68920,6.52,0,http://www.openphacts.org/units/Nanomolar,119482,=,1,1,=,,IC50,nM,,300.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.3
,,32265,[],CHEMBL615325,Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,,CHEMBL68920,,CHEMBL68920,5.11,0,http://www.openphacts.org/units/Nanomolar,119482,=,1,1,=,,IC50,nM,,7820.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,7.82
,,32267,[],CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,"{'bei': '14.02', 'le': '0.27', 'lle': '3.16', 'sei': '6.03'}",CHEMBL69960,,CHEMBL69960,6.77,0,http://www.openphacts.org/units/Nanomolar,119494,=,1,1,=,,IC50,nM,,170.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.17
,,32270,[],CHEMBL621151,Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,,CHEMBL69960,,CHEMBL69960,7.40,0,http://www.openphacts.org/units/Nanomolar,119494,=,1,1,=,,IC50,nM,,40.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.04
,,32272,[],CHEMBL615325,Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,,CHEMBL69960,,CHEMBL69960,6.36,0,http://www.openphacts.org/units/Nanomolar,119494,=,1,1,=,,IC50,nM,,440.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.44
,,32680,[],CHEMBL677833,In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).,B,,,BAO_0000190,BAO_0000357,single protein format,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,,,CHEMBL1145114,J Med Chem,2003,"{'bei': '13.62', 'le': '0.25', 'lle': '0.26', 'sei': '6.40'}",CHEMBL137635,,CHEMBL137635,5.03,0,http://www.openphacts.org/units/Nanomolar,262238,=,1,1,=,,IC50,nM,,9300.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,9.3
,,32770,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL306988,,CHEMBL306988,,0,http://www.openphacts.org/units/Nanomolar,137177,=,1,1,=,,IC50,nM,,500000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,500.0
,,32772,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)/C=C/c1ccc(O)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL66879,COUMARIC ACID,CHEMBL66879,,0,http://www.openphacts.org/units/Nanomolar,137215,=,1,1,=,,IC50,nM,,3000000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,3000.0
,,32780,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],,,CHEMBL1124610,J Med Chem,1989,"{'bei': '18.67', 'le': '0.34', 'lle': '2.29', 'sei': '3.62'}",CHEMBL77085,,CHEMBL77085,4.02,0,http://www.openphacts.org/units/Nanomolar,137197,=,1,1,=,,IC50,nM,,96000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,96.0
,,33406,[],CHEMBL674637,Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002,"{'bei': '9.77', 'le': '0.19', 'lle': '2.04', 'sei': '4.57'}",CHEMBL443268,,CHEMBL443268,5.28,0,http://www.openphacts.org/units/Nanomolar,119495,=,1,1,=,,IC50,nM,,5310.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,5.31
,,34039,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL76979,,CHEMBL76979,,0,http://www.openphacts.org/units/Nanomolar,137172,=,1,1,=,,IC50,nM,,264000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,264.0
,,34041,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,,,CHEMBL1124610,J Med Chem,1989,"{'bei': '29.22', 'le': '0.52', 'lle': '5.34', 'sei': '5.87'}",CHEMBL76589,,CHEMBL76589,6.90,0,http://www.openphacts.org/units/Nanomolar,137232,=,1,1,=,,IC50,nM,,125.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.125
,,34045,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(C=C(C#N)C#N)cc(OC)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL77724,,CHEMBL77724,,0,http://www.openphacts.org/units/Nanomolar,137189,>,1,1,>,,IC50,nM,,1250000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,1250.0
,,34047,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL420385,,CHEMBL420385,,0,http://www.openphacts.org/units/Nanomolar,137185,>,1,1,>,,IC50,nM,,625000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,625.0
,,34049,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N#CC(C#N)=Cc1ccc(O)c(O)c1,,,CHEMBL1124610,J Med Chem,1989,"{'bei': '23.93', 'le': '0.43', 'lle': '2.93', 'sei': '5.06'}",CHEMBL76904,TYRPHOSTIN 23,CHEMBL76904,4.46,0,http://www.openphacts.org/units/Nanomolar,137194,=,1,1,=,,IC50,nM,,35000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,35.0
,,34051,[],CHEMBL674643,Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,B,,,BAO_0000190,BAO_0000357,single protein format,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1124610,J Med Chem,1989,,CHEMBL1009,LEVODOPA,CHEMBL1009,,0,http://www.openphacts.org/units/Nanomolar,137202,=,1,1,=,,IC50,nM,,900000.0,CHEMBL203,Homo sapiens,Epidermal growth factor receptor,9606,,,IC50,uM,UO_0000065,,900.0
